LocationID	Location	ParentLocationID	Latitude	Longitude
BFN14_Layer_6	BFN14_Layer_6	BFN14_Layers	0.000000	0.000000
BFN14_Layer_7	BFN14_Layer_7	BFN14_Layers	0.000000	0.000000
BFN14_Layer_8	BFN14_Layer_8	BFN14_Layers	0.000000	0.000000
BFN14_Layer_9	BFN14_Layer_9	BFN14_Layers	0.000000	0.000000
BFN14_Layers	BFN14 D3D profiles	BFN14_Layers	34.682215	-87.097214
BFN16_10ft	BFN16_10ft	BFN 16 (DS, Right)	34.707210	-87.127842
BFN16_20ft	BFN16_20ft	BFN 16 (DS, Right)	34.707210	-87.127842
BFN16_3ft	BFN16_3ft	BFN 16 (DS, Right)	34.707210	-87.127842
BFN16_5ft	BFN16_5ft	BFN 16 (DS, Right)	34.707210	-87.127842
BFN16_7ft	BFN16_7ft	BFN 16 (DS, Right)	34.707210	-87.127842
BFN16_Layer_1	BFN16_Layer_1	BFN16_Layers	0.000000	0.000000
BFN16_Layer_10	BFN16_Layer_10	BFN16_Layers	0.000000	0.000000
BFN16_Layer_11	BFN16_Layer_11	BFN16_Layers	0.000000	0.000000
BFN16_Layer_12	BFN16_Layer_12	BFN16_Layers	0.000000	0.000000
BFN16_Layer_13	BFN16_Layer_13	BFN16_Layers	0.000000	0.000000
BFN16_Layer_14	BFN16_Layer_14	BFN16_Layers	0.000000	0.000000
BFN16_Layer_15	BFN16_Layer_15	BFN16_Layers	0.000000	0.000000
BFN16_Layer_16	BFN16_Layer_16	BFN16_Layers	0.000000	0.000000
BFN16_Layer_17	BFN16_Layer_17	BFN16_Layers	0.000000	0.000000
BFN16_Layer_18	BFN16_Layer_18	BFN16_Layers	0.000000	0.000000
BFN16_Layer_19	BFN16_Layer_19	BFN16_Layers	0.000000	0.000000
BFN16_Layer_2	BFN16_Layer_2	BFN16_Layers	0.000000	0.000000
BFN16_Layer_20	BFN16_Layer_20	BFN16_Layers	0.000000	0.000000
BFN16_Layer_21	BFN16_Layer_21	BFN16_Layers	0.000000	0.000000
BFN16_Layer_22	BFN16_Layer_22	BFN16_Layers	0.000000	0.000000
BFN16_Layer_23	BFN16_Layer_23	BFN16_Layers	0.000000	0.000000
BFN16_Layer_24	BFN16_Layer_24	BFN16_Layers	0.000000	0.000000
BFN16_Layer_25	BFN16_Layer_25	BFN16_Layers	0.000000	0.000000
BFN16_Layer_26	BFN16_Layer_26	BFN16_Layers	0.000000	0.000000
BFN16_Layer_27	BFN16_Layer_27	BFN16_Layers	0.000000	0.000000
